"","datetime","lat","long","mag"
"214",1982-06-09 01:57:19,34.84319,-119.04026,3
"215",1982-06-09 03:27:09,33.955,-116.87776,3.09
"216",1982-06-10 08:06:01,32.5831,-115.63839,3.17
"217",1982-06-15 11:59:31,32.54183,-118.8955,3.3
"223",1982-06-16 03:16:06,33.92305,-117.03566,3.1
"228",1982-06-27 11:21:33,32.965,-116.43187,3.2
"229",1982-06-27 16:14:59,33.48233,-116.45467,3.13
"231",1982-07-07 08:44:33,34.15195,-116.70269,3.46
"233",1982-07-21 09:28:18,35.38228,-119.43521,3.18
"234",1982-07-26 21:27:36,32.52927,-115.25503,3.21
"235",1982-07-29 05:50:08,33.95822,-118.70493,3.4
"237",1982-07-31 06:42:19,35.3705,-116.37517,3.16
"238",1982-08-03 16:38:05,33.26382,-116.41659,3.62
"239",1982-08-04 03:43:30,32.03917,-116.17267,3.04
"241",1982-08-10 18:36:43,32.9159,-115.52936,3.17
"244",1982-08-14 04:51:29,33.35095,-116.33936,3.01
"245",1982-08-14 05:13:50,34.99515,-118.50979,3.48
"247",1982-08-26 22:28:43,33.26172,-115.97728,3.48
"248",1982-08-27 04:25:37,33.93356,-117.81192,3.36
"249",1982-08-30 19:59:01,33.6432,-116.7555,3.9
"250",1982-09-01 15:42:13,34.84017,-120.4035,3.14
"251",1982-09-05 05:21:26,32.93244,-115.82297,4.13
"253",1982-09-17 10:57:50,33.94164,-118.31859,3.15
"254",1982-09-20 09:36:27,32.796,-120.02817,3.82
"255",1982-09-20 17:33:34,35.8435,-119.573,3.11
"256",1982-09-21 18:17:12,34.43179,-119.77649,3.18
"262",1982-09-25 20:38:10,33.32517,-118.29367,3.13
"270",1982-09-30 03:15:35,32.172,-114.9635,3.19
"292",1982-10-03 10:20:50,32.03844,-116.3138,3.37
"295",1982-10-06 10:38:16,35.42467,-118.26183,3.49
"300",1982-10-11 14:34:35,33.32588,-116.31825,3.15
"303",1982-10-12 21:00:30,34.3998,-117.72114,3
"304",1982-10-15 09:57:20,34.20771,-118.64233,3.28
"307",1982-10-19 00:49:41,35.53583,-119.139,3.54
"308",1982-10-24 19:23:18,34.09517,-119.23267,3.61
"312",1982-11-04 13:58:55,34.49583,-120.98533,3.09
"313",1982-11-10 11:21:25,34.05683,-116.67282,4.09
"314",1982-11-11 23:19:09,35.681,-119.6495,3.09
"315",1982-11-12 21:57:10,35.31917,-120.549,3.35
"316",1982-11-21 17:22:48,32.88656,-115.94882,3.07
"317",1982-11-24 06:56:38,34.97719,-120.74102,3.07
"318",1982-12-02 22:44:25,34.29885,-119.57582,3.27
"319",1982-12-19 02:28:40,35.07834,-116.81559,3.03
"320",1982-12-22 10:14:26,35.95718,-118.59381,3.02
"326",1982-12-30 04:00:29,33.95389,-118.81914,3.57
"330",1983-01-02 22:09:59,33.76851,-115.94226,3.07
"336",1983-01-08 07:19:30,34.1445,-117.44733,4.02
"338",1983-01-12 16:56:51,33.57867,-120.04117,3.48
"340",1983-01-15 23:37:09,33.36041,-116.28244,3.13
"342",1983-01-16 20:08:00,34.42033,-116.01367,3
"343",1983-01-17 01:09:00,35.711,-118.58517,3.69
"345",1983-01-22 19:13:20,33.35595,-116.93761,3.24
"346",1983-01-24 03:38:36,32.9834,-115.9157,3.32
"347",1983-01-26 19:03:56,32.17767,-115.9495,3
"348",1983-01-28 14:54:08,33.9435,-118.713,3.59
"350",1983-02-04 16:19:15,32.92085,-116.48203,3.38
"351",1983-02-19 07:31:45,32.83069,-116.08734,3.28
"352",1983-02-22 02:18:30,33.07633,-117.94833,4.38
"353",1983-02-22 05:40:40,32.52892,-115.42872,3.06
"354",1983-02-24 12:14:04,34.06974,-118.88538,3.04
"356",1983-03-01 20:18:35,33.9346,-118.27303,3.72
"359",1983-03-08 21:22:08,32.17388,-115.80621,3.02
"362",1983-03-16 00:42:04,35.57728,-117.16875,3.41
"363",1983-03-21 00:38:10,36.0395,-119.79833,3.2
"365",1983-03-28 02:44:01,35.07866,-119.1298,3.17
"366",1983-03-29 14:27:15,34.17312,-117.42902,3.06
"367",1983-03-31 06:45:06,33.80938,-120.40725,3.21
